like1,parx,pary,parz,simulation_0,chain
inf,-7.31,0.248,-6.523,inf,1.0
6880.0,2.46,1.02,-5.547,6880.0,1.0
inf,5.035,-5.69,-6.473,inf,1.0
5344.0,2.023,-1.916,7.812,5344.0,1.0
inf,2.715,-8.82,-3.049,inf,1.0
inf,8.734,1.819,-0.2588,inf,1.0
56600.0,2.113,-5.58,9.56,56600.0,1.0
inf,4.547,9.586,-1.226,inf,1.0
inf,-9.484,-6.934,4.95,inf,1.0
inf,-4.25,9.055,4.16,inf,1.0
inf,-8.02,8.9,1.568,inf,1.0
52130.0,-3.752,-3.457,-2.654,52130.0,1.0
inf,-7.19,2.69,2.297,inf,1.0
inf,5.223,-3.725,-3.244,inf,1.0
inf,-6.152,5.273,0.9893,inf,1.0
inf,-7.84,-8.734,4.35,inf,1.0
inf,1.51,8.49,3.213,inf,1.0
inf,-2.617,7.05,8.19,inf,1.0
inf,2.777,-6.324,-2.826,inf,1.0
inf,0.1592,7.492,3.033,inf,1.0
644.0,0.2025,-2.334,4.62,644.0,1.0
inf,-9.805,2.902,-4.39,inf,1.0
611.0,-0.02081,-0.0845,2.473,611.0,1.0
inf,4.945,-8.23,-3.418,inf,1.0
inf,5.26,-3.434,-0.06976,inf,1.0
inf,0.004482,6.777,5.71,inf,1.0
inf,4.965,-2.158,-3.562,inf,1.0
inf,3.355,9.63,-1.23,inf,1.0
inf,-2.37,5.75,-5.227,inf,1.0
3164.0,0.5215,-0.761,6.105,3164.0,1.0
inf,-6.46,-0.459,-6.402,inf,1.0
inf,-7.742,-7.652,-3.477,inf,1.0
22980.0,-4.08,2.215,9.55,22980.0,1.0
inf,-1.056,-5.24,1.9,inf,1.0
inf,-6.973,-9.31,3.43,inf,1.0
inf,2.475,-9.76,2.207,inf,1.0
inf,9.28,5.793,-4.91,inf,1.0
inf,-6.94,7.13,3.229,inf,1.0
11736.0,1.372,4.164,6.75,11736.0,1.0
16530.0,1.41,-2.377,-6.44,16530.0,1.0
inf,-4.79,8.54,9.32,inf,1.0
inf,-7.87,-7.69,5.906,inf,1.0
inf,-4.625,-7.867,4.97,inf,1.0
inf,-4.816,-4.605,7.83,inf,1.0
inf,8.79,5.12,-9.08,inf,1.0
inf,7.0,-2.512,-3.69,inf,1.0
18880.0,-0.131,-3.424,-1.574,18880.0,1.0
inf,-5.895,8.79,1.199,inf,1.0
inf,5.32,3.732,-9.79,inf,1.0
43520.0,-4.25,-2.758,8.82,43520.0,1.0
1063.0,-0.2039,-0.0813,3.262,1063.0,1.0
inf,9.14,6.58,-7.234,inf,1.0
inf,-7.625,7.5,1.876,inf,1.0
3250.0,1.605,-2.125,7.723,3250.0,1.0
inf,9.9,-7.555,9.305,inf,1.0
3624.0,-0.598,-2.553,1.268,3624.0,1.0
inf,-1.236,-6.633,2.53,inf,1.0
inf,-0.9663,-7.52,-2.871,inf,1.0
65060.0,-5.016,0.313,-5.73,65060.0,1.0
inf,-0.968,8.92,9.36,inf,1.0
26830.0,2.068,2.693,-9.05,26830.0,1.0
inf,1.896,-4.953,-0.138,inf,1.0
5844.0,-1.04,3.338,3.848,5844.0,1.0
inf,-0.6387,9.22,-7.125,inf,1.0
38980.0,-0.4268,-5.016,6.133,38980.0,1.0
inf,-8.81,2.459,-4.715,inf,1.0
24220.0,3.062,-3.732,5.566,24220.0,1.0
12500.0,3.055,-0.00566,-6.133,12500.0,1.0
inf,-3.504,9.76,6.848,inf,1.0
inf,-9.34,5.457,-9.64,inf,1.0
6300.0,-2.771,-0.2089,-0.742,6300.0,1.0
inf,-1.576,-7.3,-6.54,inf,1.0
inf,-7.17,-7.066,-9.38,inf,1.0
inf,-6.785,-4.242,-9.586,inf,1.0
18260.0,0.1747,-3.303,-2.18,18260.0,1.0
inf,5.875,-1.021,-2.521,inf,1.0
inf,1.093,5.71,5.117,inf,1.0
inf,-5.867,-1.644,-6.96,inf,1.0
inf,-4.418,-5.53,5.19,inf,1.0
inf,-9.39,1.26,3.598,inf,1.0
inf,8.77,9.734,-4.324,inf,1.0
inf,5.598,1.681,1.321,inf,1.0
inf,-3.521,-9.82,3.29,inf,1.0
inf,0.3406,-9.43,-0.204,inf,1.0
inf,-3.902,-5.03,-2.736,inf,1.0
inf,1.415,9.26,-4.71,inf,1.0
inf,-0.3909,5.84,1.014,inf,1.0
inf,-7.957,-2.264,-9.734,inf,1.0
inf,8.516,-9.25,2.71,inf,1.0
105.8,-1.352,1.016,0.443,105.8,1.0
inf,1.666,-8.21,-0.0671,inf,1.0
48770.0,1.949,4.05,-5.684,48770.0,1.0
inf,2.693,8.8,9.19,inf,1.0
13690.0,-0.0551,1.463,-9.47,13690.0,1.0
4584.0,0.3845,-0.4595,6.953,4584.0,1.0
12696.0,-2.678,-3.031,4.44,12696.0,1.0
inf,-5.312,-8.305,-2.426,inf,1.0
48740.0,3.736,4.53,0.5757,48740.0,1.0
inf,-8.516,8.79,6.297,inf,1.0
inf,-3.428,-5.14,-1.861,inf,1.0
inf,6.906,6.293,-2.43,inf,1.0
inf,0.03622,-5.758,-8.36,inf,1.0
inf,5.414,1.554,8.22,inf,1.0
inf,-7.25,2.604,1.298,inf,1.0
inf,-7.633,-0.117,2.244,inf,1.0
inf,-7.227,-0.8203,9.984,inf,1.0
inf,3.824,7.777,1.117,inf,1.0
inf,-1.091,8.86,-9.27,inf,1.0
inf,-5.83,8.36,5.55,inf,1.0
39650.0,-4.215,-2.14,4.562,39650.0,1.0
inf,8.7,4.965,0.8647,inf,1.0
inf,2.883,5.73,0.4246,inf,1.0
inf,6.996,1.262,1.66,inf,1.0
inf,7.293,-1.234,4.45,inf,1.0
inf,-1.899,5.15,-2.332,inf,1.0
9464.0,2.398,0.516,-7.934,9464.0,1.0
17100.0,-3.652,0.563,3.05,17100.0,1.0
29440.0,2.97,-1.921,-9.69,29440.0,1.0
inf,-9.02,0.936,4.86,inf,1.0
inf,5.63,9.16,9.47,inf,1.0
inf,-6.94,3.637,-1.618,inf,1.0
inf,3.277,8.336,-7.1,inf,1.0
inf,-6.184,-6.01,5.375,inf,1.0
inf,-5.875,-2.807,-9.08,inf,1.0
inf,9.49,-4.9,7.375,inf,1.0
inf,4.113,3.955,-6.64,inf,1.0
14340.0,2.898,-1.9795,9.88,14340.0,1.0
1627.0,1.294,-1.99,2.303,1627.0,1.0
52930.0,-4.86,0.6807,-1.428,52930.0,1.0
inf,1.255,-8.75,2.07,inf,1.0
inf,-0.773,-7.547,5.355,inf,1.0
inf,7.926,5.875,-4.484,inf,1.0
14980.0,-3.451,-0.1821,-1.75,14980.0,1.0
inf,-5.613,4.47,-6.52,inf,1.0
48540.0,-3.787,3.678,-5.742,48540.0,1.0
inf,-3.656,-4.773,-6.855,inf,1.0
10480.0,2.205,-1.316,9.89,10480.0,1.0
inf,5.34,-0.256,0.897,inf,1.0
inf,9.805,-3.156,7.97,inf,1.0
7856.0,2.738,1.605,-4.035,7856.0,1.0
57280.0,4.98,0.9126,2.307,57280.0,1.0
inf,6.77,-7.19,9.94,inf,1.0
inf,-5.37,5.12,-6.88,inf,1.0
inf,6.824,5.766,2.156,inf,1.0
inf,9.64,3.363,5.164,inf,1.0
inf,-7.977,8.4,-4.805,inf,1.0
inf,-8.27,5.715,8.44,inf,1.0
27950.0,2.404,-3.564,-1.147,27950.0,1.0
4492.0,1.63,-1.283,-3.771,4492.0,1.0
inf,1.639,8.13,-8.61,inf,1.0
inf,3.625,9.484,1.07,inf,1.0
inf,-8.34,-9.1,6.914,inf,1.0
28510.0,-4.133,0.216,0.5664,28510.0,1.0
inf,-5.68,-9.45,-3.156,inf,1.0
inf,-2.695,-7.77,4.863,inf,1.0
inf,9.414,-9.945,5.73,inf,1.0
inf,8.0,-9.56,-0.6006,inf,1.0
inf,5.89,1.638,3.14,inf,1.0
inf,-9.31,1.253,-6.254,inf,1.0
inf,1.851,8.5,0.73,inf,1.0
inf,-4.645,-8.164,-7.8,inf,1.0
44800.0,1.39,5.184,5.945,44800.0,1.0
inf,-4.336,-4.81,9.99,inf,1.0
inf,-0.9966,9.41,7.305,inf,1.0
inf,-7.5,2.49,-6.08,inf,1.0
56420.0,5.15,2.812,9.29,56420.0,1.0
inf,2.443,-8.89,-3.857,inf,1.0
inf,-2.834,7.984,6.71,inf,1.0
6504.0,2.818,-0.11273,0.3794,6504.0,1.0
inf,8.43,3.498,3.021,inf,1.0
inf,8.19,-5.44,4.688,inf,1.0
47840.0,0.6816,4.297,-3.076,47840.0,1.0
inf,-2.1,-8.23,6.746,inf,1.0
inf,9.8,3.297,-5.992,inf,1.0
inf,4.56,-3.307,1.201,inf,1.0
inf,1.1455,8.125,-0.061,inf,1.0
20220.0,3.424,-1.415,-3.443,20220.0,1.0
inf,7.195,-3.273,-4.336,inf,1.0
inf,-5.2,-8.34,7.03,inf,1.0
32750.0,4.22,0.5005,5.555,32750.0,1.0
inf,5.004,-8.12,-0.3086,inf,1.0
inf,8.24,-7.22,-6.965,inf,1.0
inf,-9.86,1.04,-7.99,inf,1.0
inf,-6.184,-4.812,4.562,inf,1.0
inf,-3.578,9.04,7.734,inf,1.0
inf,-1.761,-7.523,-5.293,inf,1.0
inf,2.695,-6.445,8.164,inf,1.0
inf,-6.914,3.357,1.087,inf,1.0
inf,-6.41,7.043,2.59,inf,1.0
inf,-1.023,-5.656,-2.021,inf,1.0
inf,-3.773,9.95,7.734,inf,1.0
inf,-8.4,-5.54,5.688,inf,1.0
inf,-6.68,-4.582,6.86,inf,1.0
inf,-0.839,9.945,-3.963,inf,1.0
inf,-0.7266,5.133,-0.2313,inf,1.0
inf,-6.312,-8.9,5.504,inf,1.0
18610.0,-3.562,1.319,9.266,18610.0,1.0
inf,-3.29,6.105,-4.715,inf,1.0
inf,-2.22,6.08,-3.754,inf,1.0
inf,-6.793,0.7515,2.426,inf,1.0
inf,-8.01,6.613,-9.5,inf,1.0
inf,0.0878,-7.12,-3.287,inf,1.0
inf,3.88,-6.62,-0.1498,inf,1.0
inf,-2.541,9.12,-4.7,inf,1.0
inf,1.652,-8.695,-2.023,inf,1.0
7404.0,1.593,-0.1571,-8.15,7404.0,1.0
inf,1.492,-4.605,-7.258,inf,1.0
27500.0,3.936,4.336,6.527,27500.0,1.0
57000.0,4.66,-0.4736,8.99,57000.0,1.0
inf,-2.725,7.95,3.121,inf,1.0
inf,-3.344,7.9,-8.695,inf,1.0
20320.0,-3.506,-1.134,-3.48,20320.0,1.0
10790.0,3.178,1.63,-3.355,10790.0,1.0
inf,-10.0,8.87,-7.13,inf,1.0
inf,3.2,-7.37,-2.965,inf,1.0
inf,-5.62,-7.24,-9.76,inf,1.0
inf,4.723,7.59,7.53,inf,1.0
inf,0.8457,6.547,6.227,inf,1.0
11310.0,3.133,-0.708,-1.016,11310.0,1.0
inf,-3.477,-5.707,-0.0665,inf,1.0
23780.0,-3.63,4.195,5.086,23780.0,1.0
1664.0,2.33,2.129,2.137,1664.0,1.0
inf,7.375,7.223,7.88,inf,1.0
inf,-6.57,0.795,8.29,inf,1.0
21380.0,-1.5625,-4.527,7.645,21380.0,1.0
inf,-7.42,8.484,-5.04,inf,1.0
39970.0,0.845,-4.5,0.96,39970.0,1.0
inf,-6.66,-5.332,-1.72,inf,1.0
37100.0,3.695,4.938,7.223,37100.0,1.0
35040.0,-2.164,-2.957,-8.33,35040.0,1.0
inf,4.023,6.96,-1.521,inf,1.0
inf,-2.375,9.3,8.77,inf,1.0
inf,-9.984,9.42,-3.014,inf,1.0
inf,-8.15,0.8975,2.852,inf,1.0
inf,-4.953,8.766,5.684,inf,1.0
inf,-1.197,-9.336,-3.174,inf,1.0
inf,-9.23,2.354,7.105,inf,1.0
11880.0,2.775,0.1184,7.848,11880.0,1.0
inf,5.305,-3.055,7.402,inf,1.0
inf,7.027,6.28,-4.54,inf,1.0
39400.0,0.9937,-4.38,0.0859,39400.0,1.0
inf,4.137,5.684,3.395,inf,1.0
inf,2.629,-6.797,9.88,inf,1.0
inf,2.027,-6.082,7.4,inf,1.0
inf,5.184,-8.734,0.8745,inf,1.0
inf,3.508,-6.742,9.14,inf,1.0
inf,-2.938,-5.875,2.373,inf,1.0
57920.0,5.023,1.166,1.885,57920.0,1.0
inf,9.02,4.566,8.2,inf,1.0
inf,7.55,8.96,9.72,inf,1.0
39500.0,0.907,-5.16,7.703,39500.0,1.0
inf,6.785,-8.32,-2.857,inf,1.0
inf,7.934,-1.514,-1.033,inf,1.0
inf,-4.15,4.09,-7.043,inf,1.0
inf,-7.867,-3.621,-0.11523,inf,1.0
50500.0,3.273,-4.38,2.521,50500.0,1.0
inf,8.44,-8.266,-8.21,inf,1.0
inf,-0.9907,-6.953,-9.195,inf,1.0
inf,-2.96,-8.836,6.82,inf,1.0
inf,-2.273,-4.832,-1.345,inf,1.0
inf,7.86,-1.9,7.934,inf,1.0
inf,7.18,-4.98,2.98,inf,1.0
inf,-9.52,-8.21,-8.1,inf,1.0
inf,-0.079,9.484,6.285,inf,1.0
inf,8.4,-2.867,-2.46,inf,1.0
inf,9.44,9.11,7.957,inf,1.0
inf,-4.344,8.42,-7.867,inf,1.0
inf,5.793,-8.61,6.77,inf,1.0
39840.0,-3.957,4.832,6.574,39840.0,1.0
inf,-2.406,9.43,4.656,inf,1.0
inf,7.254,-5.355,-3.826,inf,1.0
inf,0.933,4.56,-7.965,inf,1.0
38560.0,-1.364,-4.785,4.44,38560.0,1.0
64740.0,2.918,-4.08,-5.484,64740.0,1.0
inf,0.6035,7.77,3.701,inf,1.0
inf,5.9,2.36,-2.84,inf,1.0
20420.0,-3.805,2.031,-2.889,20420.0,1.0
inf,-8.52,-5.246,-1.81,inf,1.0
inf,-7.758,-2.025,-0.724,inf,1.0
inf,6.39,-0.3076,7.832,inf,1.0
708.5,-1.329,2.877,5.87,708.5,1.0
inf,0.1095,-6.184,-5.86,inf,1.0
5880.0,-0.03925,1.41,-5.55,5880.0,1.0
inf,-4.902,-0.3943,-8.89,inf,1.0
5936.0,-1.647,-1.214,-5.145,5936.0,1.0
inf,8.945,6.535,4.98,inf,1.0
inf,7.215,6.97,7.004,inf,1.0
10970.0,-3.486,3.543,6.625,10970.0,1.0
inf,6.137,8.99,5.08,inf,1.0
inf,0.9214,6.562,-0.1415,inf,1.0
inf,5.703,-8.664,-1.775,inf,1.0
inf,5.418,-7.535,3.555,inf,1.0
inf,7.633,5.09,0.1381,inf,1.0
inf,4.0,-6.207,-1.559,inf,1.0
inf,4.36,-8.95,-8.77,inf,1.0
inf,3.5,8.89,-3.865,inf,1.0
inf,7.62,2.04,-0.6216,inf,1.0
inf,-9.945,-0.246,5.23,inf,1.0
inf,6.24,-0.4016,-0.04712,inf,1.0
inf,-0.8687,-8.08,9.7,inf,1.0
inf,3.08,8.695,-6.234,inf,1.0
39500.0,-4.49,0.672,-3.541,39500.0,1.0
inf,-1.435,8.68,-3.865,inf,1.0
inf,-5.97,9.27,-6.605,inf,1.0
inf,7.223,-6.906,-7.508,inf,1.0
27410.0,1.021,4.25,1.836,27410.0,1.0
11420.0,2.723,-2.188,9.46,11420.0,1.0
inf,-7.426,6.297,3.008,inf,1.0
inf,7.617,4.695,9.8,inf,1.0
inf,-6.094,-3.791,-3.055,inf,1.0
inf,-7.87,-5.992,-9.8,inf,1.0
inf,-5.51,3.45,0.2015,inf,1.0
734.0,-0.793,-1.96,4.562,734.0,1.0
inf,6.242,8.71,5.39,inf,1.0
15220.0,1.941,1.52,-9.82,15220.0,1.0
inf,-4.723,-9.16,-3.77,inf,1.0
inf,-6.637,2.95,7.14,inf,1.0
inf,-8.27,0.4678,-6.145,inf,1.0
inf,-3.2,8.9,9.04,inf,1.0
inf,-9.25,-2.875,-0.4956,inf,1.0
inf,7.81,-1.301,-6.02,inf,1.0
inf,-6.79,-4.105,-2.283,inf,1.0
inf,2.953,6.7,7.797,inf,1.0
422.0,-1.6,3.26,8.72,422.0,1.0
inf,-5.348,-2.56,6.348,inf,1.0
inf,2.025,-9.31,8.586,inf,1.0
62430.0,-4.867,-1.181,-1.089,62430.0,1.0
inf,-5.836,7.29,9.766,inf,1.0
inf,-3.322,8.92,-8.17,inf,1.0
inf,-4.832,8.2,-9.47,inf,1.0
inf,6.344,3.994,4.605,inf,1.0
inf,-3.354,-6.793,-0.1735,inf,1.0
inf,1.038,-9.59,2.344,inf,1.0
inf,5.37,-4.17,-9.67,inf,1.0
inf,-7.15,6.01,7.273,inf,1.0
32770.0,-3.883,-2.396,1.028,32770.0,1.0
inf,9.31,0.9863,1.0,inf,1.0
inf,-6.598,-2.68,8.8,inf,1.0
61100.0,-3.65,-3.07,-9.05,61100.0,1.0
41760.0,-4.71,2.24,0.672,41760.0,1.0
inf,0.4915,6.7,4.28,inf,1.0
inf,3.764,-3.988,-5.035,inf,1.0
inf,-8.234,0.2866,4.73,inf,1.0
inf,-4.47,6.215,-4.88,inf,1.0
inf,8.055,2.506,4.36,inf,1.0
inf,-3.857,-7.582,0.291,inf,1.0
inf,-5.977,-5.92,-8.16,inf,1.0
inf,-6.36,-5.844,-7.17,inf,1.0
inf,-1.886,-8.63,2.984,inf,1.0
inf,-8.04,1.502,-2.754,inf,1.0
inf,0.3843,4.973,-9.51,inf,1.0
inf,8.15,-3.914,5.324,inf,1.0
51870.0,3.412,-3.363,-5.824,51870.0,1.0
inf,8.62,-3.0,4.324,inf,1.0
48130.0,4.484,-0.1487,8.44,48130.0,1.0
inf,6.645,-8.24,8.336,inf,1.0
inf,-4.85,2.715,-9.805,inf,1.0
inf,-7.656,-4.082,-7.684,inf,1.0
inf,-3.547,-9.516,9.25,inf,1.0
inf,9.04,-6.95,-8.24,inf,1.0
42460.0,-3.857,-4.07,8.49,42460.0,1.0
inf,-7.79,-3.834,0.4146,inf,1.0
inf,-5.38,-6.83,5.375,inf,1.0
inf,-9.43,-5.797,9.195,inf,1.0
6744.0,-1.642,-3.518,7.023,6744.0,1.0
inf,-6.31,2.998,7.152,inf,1.0
inf,-9.516,-7.57,-1.185,inf,1.0
inf,5.7,3.389,5.086,inf,1.0
inf,1.051,7.44,-3.705,inf,1.0
inf,-6.438,-8.56,-8.66,inf,1.0
inf,-6.066,-0.9077,6.156,inf,1.0
9760.0,-0.2744,3.652,4.137,9760.0,1.0
inf,-3.65,-8.93,-1.014,inf,1.0
27250.0,3.848,-1.516,4.773,27250.0,1.0
inf,-6.516,7.188,3.998,inf,1.0
inf,7.703,9.74,3.39,inf,1.0
inf,-9.8,6.176,-9.42,inf,1.0
inf,-5.23,0.4775,7.49,inf,1.0
inf,6.836,-4.062,-2.324,inf,1.0
inf,9.42,-9.39,7.348,inf,1.0
inf,-9.984,-7.1,4.51,inf,1.0
inf,-3.254,-9.02,0.644,inf,1.0
inf,6.094,5.29,-6.203,inf,1.0
1998.0,-1.837,-0.9473,1.985,1998.0,1.0
inf,-4.582,-2.268,-8.59,inf,1.0
inf,6.29,-2.102,-1.288,inf,1.0
4058.0,-1.3545,2.152,-1.725,4058.0,1.0
inf,-4.914,8.48,8.79,inf,1.0
inf,4.94,-9.28,-9.39,inf,1.0
inf,0.986,9.47,-3.67,inf,1.0
inf,-0.675,7.566,-3.59,inf,1.0
inf,8.875,-5.758,3.102,inf,1.0
inf,8.96,0.6626,9.445,inf,1.0
29180.0,4.13,1.595,9.81,29180.0,1.0
inf,-4.73,-7.156,-1.879,inf,1.0
inf,-2.732,8.63,6.24,inf,1.0
inf,4.52,7.42,-5.4,inf,1.0
inf,8.54,2.615,7.64,inf,1.0
38700.0,3.572,-2.268,-7.535,38700.0,1.0
inf,-9.945,-7.69,6.387,inf,1.0
inf,-8.96,-2.984,3.754,inf,1.0
inf,-7.95,2.621,0.1758,inf,1.0
10280.0,-2.012,-0.4011,-8.945,10280.0,1.0
45570.0,4.414,-0.634,-6.746,45570.0,1.0
inf,7.33,-1.657,9.02,inf,1.0
inf,-1.624,-4.805,-1.635,inf,1.0
inf,-0.3196,-5.875,-3.754,inf,1.0
inf,8.97,-4.562,0.5713,inf,1.0
2848.0,-0.2389,3.61,9.055,2848.0,1.0
24320.0,2.896,4.312,3.543,24320.0,1.0
inf,-8.6,-4.395,8.695,inf,1.0
inf,-9.44,-2.424,3.988,inf,1.0
inf,2.53,-9.01,5.49,inf,1.0
inf,-6.344,2.033,-7.383,inf,1.0
34.1,-0.4133,0.0783,0.5576,34.1,1.0
inf,0.769,-8.64,-6.844,inf,1.0
2144.0,-0.764,1.345,6.37,2144.0,1.0
inf,6.504,-8.27,9.875,inf,1.0
inf,3.379,7.82,-6.812,inf,1.0
inf,-0.8555,7.0,-4.004,inf,1.0
inf,2.28,8.414,6.117,inf,1.0
29230.0,-0.1346,-2.785,-9.1,29230.0,1.0
2186.0,-0.1952,-1.099,5.734,2186.0,1.0
32540.0,1.789,-3.93,-1.122,32540.0,1.0
7692.0,3.016,3.947,8.49,7692.0,1.0
58980.0,-2.848,4.164,-6.617,58980.0,1.0
7172.0,-1.458,-3.762,8.08,7172.0,1.0
inf,6.168,-8.65,-2.637,inf,1.0
14950.0,1.869,2.977,-3.354,14950.0,1.0
inf,3.838,-5.258,-4.6,inf,1.0
inf,0.2096,-5.84,-9.46,inf,1.0
inf,-6.016,3.332,2.094,inf,1.0
inf,8.805,-7.492,-8.92,inf,1.0
inf,4.656,-2.48,-6.543,inf,1.0
inf,-2.125,-5.52,5.676,inf,1.0
inf,-7.914,3.2,-0.2546,inf,1.0
inf,-4.81,-9.53,-1.726,inf,1.0
inf,-5.035,-0.304,-1.849,inf,1.0
inf,9.28,-0.5664,-6.57,inf,1.0
inf,-4.836,-5.68,-1.34,inf,1.0
inf,-8.19,0.3596,8.76,inf,1.0
inf,8.87,2.799,1.36,inf,1.0
inf,-6.844,-4.098,-4.633,inf,1.0
