"id","DatesR","P","T","E","Qls","Qmm"
"55",2004-01-03 06:00:00,1.22,NA,0,6204,0.0242765217391304
"56",2004-01-03 07:00:00,1.59,NA,0.01,6278,0.0245660869565217
"57",2004-01-03 08:00:00,2.3,NA,0.02,6919,0.027074347826087
"58",2004-01-03 09:00:00,2.62,NA,0.03,8466,0.0331278260869565
"59",2004-01-03 10:00:00,2.61,NA,0.04,9334,0.036524347826087
"60",2004-01-03 11:00:00,2.35,NA,0.04,10822,0.0423469565217391
"61",2004-01-03 12:00:00,2.53,NA,0.05,13026,0.0509713043478261
"62",2004-01-03 13:00:00,4.45,NA,0.05,15230,0.059595652173913
"63",2004-01-03 14:00:00,3.36,NA,0.04,18612,0.0728295652173913
"64",2004-01-03 15:00:00,4.49,NA,0.04,21838,0.0854530434782609
"65",2004-01-03 16:00:00,7.15,NA,0.03,26094,0.102106956521739
"66",2004-01-03 17:00:00,5.84,NA,0.02,32474,0.127072173913043
"67",2004-01-03 18:00:00,4.89,NA,0.01,45285,0.177202173913043
"68",2004-01-03 19:00:00,4.93,NA,0,72846,0.285049565217391
"69",2004-01-03 20:00:00,6.14,NA,0,110981,0.43427347826087
"70",2004-01-03 21:00:00,5.39,NA,0,149600,0.585391304347826
"71",2004-01-03 22:00:00,5.4,NA,0,186489,0.729739565217391
"72",2004-01-03 23:00:00,5.36,NA,0,215829,0.844548260869565
"73",2004-01-04 00:00:00,6.01,NA,0,244286,0.955901739130435
"74",2004-01-04 01:00:00,6.51,NA,0,273393,1.06979869565217
"75",2004-01-04 02:00:00,5.9,NA,0,303359,1.18705695652174
"76",2004-01-04 03:00:00,4.81,NA,0,328000,1.28347826086957
"77",2004-01-04 04:00:00,2.89,NA,0,352000,1.37739130434783
"78",2004-01-04 05:00:00,1.75,NA,0,372625,1.45809782608696
"79",2004-01-04 06:00:00,3.63,NA,0,384974,1.50642
"80",2004-01-04 07:00:00,2.97,NA,0.02,396401,1.55113434782609
"81",2004-01-04 08:00:00,2.89,NA,0.03,414453,1.62177260869565
"82",2004-01-04 09:00:00,2.87,NA,0.04,408972,1.6003252173913
"83",2004-01-04 10:00:00,2.44,NA,0.05,403306,1.57815391304348
"84",2004-01-04 11:00:00,1.82,NA,0.06,394340,1.54306956521739
"85",2004-01-04 12:00:00,1.16,NA,0.06,380848,1.4902747826087
"86",2004-01-04 13:00:00,0.94,NA,0.06,367329,1.43737434782609
"87",2004-01-04 14:00:00,0.69,NA,0.06,353810,1.38447391304348
"88",2004-01-04 15:00:00,0.93,NA,0.05,340291,1.33157347826087
"89",2004-01-04 16:00:00,0.72,NA,0.04,326772,1.27867304347826
"90",2004-01-04 17:00:00,0.63,NA,0.03,313142,1.22533826086957
"91",2004-01-04 18:00:00,0.78,NA,0.02,298059,1.16631782608696
"92",2004-01-04 19:00:00,1.01,NA,0,282916,1.10706260869565
"93",2004-01-04 20:00:00,0.99,NA,0,268304,1.0498852173913
"94",2004-01-04 21:00:00,0.41,NA,0,256920,1.00533913043478
"95",2004-01-04 22:00:00,0.31,NA,0,248760,0.973408695652174
"96",2004-01-04 23:00:00,0.2,NA,0,239827,0.93845347826087
"97",2004-01-05 00:00:00,0.13,NA,0,229696,0.898810434782609
"98",2004-01-05 01:00:00,0.01,NA,0,218379,0.85452652173913
"99",2004-01-05 02:00:00,0,NA,0,206793,0.80919
"100",2004-01-05 03:00:00,0.15,NA,0,197644,0.773389565217391
"101",2004-01-05 04:00:00,0.18,NA,0,190932,0.747125217391304
"102",2004-01-05 05:00:00,0.1,NA,0,184220,0.720860869565217
"103",2004-01-05 06:00:00,0.26,NA,0,177508,0.69459652173913
"104",2004-01-05 07:00:00,0.24,NA,0.02,170799,0.668343913043478
"105",2004-01-05 08:00:00,0.21,NA,0.03,164419,0.643378695652174
"106",2004-01-05 09:00:00,0.32,NA,0.04,158279,0.619352608695652
"107",2004-01-05 10:00:00,0.44,NA,0.05,152140,0.595330434782609
"108",2004-01-05 11:00:00,0.34,NA,0.06,146251,0.572286521739131
"109",2004-01-05 12:00:00,0.2,NA,0.06,141867,0.555131739130435
"110",2004-01-05 13:00:00,0.24,NA,0.06,137733,0.538955217391304
"111",2004-01-05 14:00:00,0.19,NA,0.06,133600,0.522782608695652
"112",2004-01-05 15:00:00,0.19,NA,0.05,129467,0.50661
"113",2004-01-05 16:00:00,0.63,NA,0.04,125333,0.49043347826087
"114",2004-01-05 17:00:00,0.87,NA,0.03,121200,0.474260869565217
"115",2004-01-05 18:00:00,0.96,NA,0.02,117067,0.458088260869565
"116",2004-01-05 19:00:00,0.92,NA,0,114766,0.449084347826087
"117",2004-01-05 20:00:00,1.51,NA,0,114299,0.447256956521739
"118",2004-01-05 21:00:00,1.27,NA,0,113831,0.445425652173913
"119",2004-01-05 22:00:00,1.32,NA,0,113364,0.443598260869565
"120",2004-01-05 23:00:00,1.43,NA,0,112896,0.441766956521739
"121",2004-01-06 00:00:00,0.8,NA,0,112428,0.439935652173913
"122",2004-01-06 01:00:00,0.54,NA,0,112597,0.440596956521739
"123",2004-01-06 02:00:00,0.22,NA,0,115546,0.45213652173913
"124",2004-01-06 03:00:00,0.03,NA,0,118398,0.46329652173913
"125",2004-01-06 04:00:00,0.03,NA,0,120222,0.470433913043478
"126",2004-01-06 05:00:00,0,NA,0,121516,0.475497391304348
"127",2004-01-06 06:00:00,0.11,NA,0,119903,0.469185652173913
"128",2004-01-06 07:00:00,0.05,NA,0.02,117806,0.46098
"129",2004-01-06 08:00:00,0,NA,0.04,115709,0.452774347826087
"130",2004-01-06 09:00:00,0.18,NA,0.06,113612,0.444568695652174
"131",2004-01-06 10:00:00,0.47,NA,0.07,111515,0.436363043478261
"132",2004-01-06 11:00:00,0.17,NA,0.08,109417,0.42815347826087
"133",2004-01-06 12:00:00,0.22,NA,0.08,107320,0.419947826086957
"134",2004-01-06 13:00:00,0.51,NA,0.08,105223,0.411742173913044
"135",2004-01-06 14:00:00,0.45,NA,0.08,103257,0.404049130434783
"136",2004-01-06 15:00:00,0.21,NA,0.07,101471,0.397060434782609
"137",2004-01-06 16:00:00,0.21,NA,0.06,99685,0.390071739130435
"138",2004-01-06 17:00:00,0.22,NA,0.04,97900,0.383086956521739
"139",2004-01-06 18:00:00,0.17,NA,0.02,96115,0.376102173913043
"140",2004-01-06 19:00:00,0.14,NA,0,94329,0.36911347826087
"141",2004-01-06 20:00:00,0,NA,0,92545,0.362132608695652
"142",2004-01-06 21:00:00,0,NA,0,90882,0.355625217391304
"143",2004-01-06 22:00:00,0,NA,0,89310,0.349473913043478
"144",2004-01-06 23:00:00,0,NA,0,87737,0.343318695652174
"145",2004-01-07 00:00:00,0,NA,0,86164,0.33716347826087
"146",2004-01-07 01:00:00,0,NA,0,84591,0.331008260869565
"147",2004-01-07 02:00:00,0.01,NA,0,82791,0.323964782608696
"148",2004-01-07 03:00:00,0,NA,0,80697,0.315770869565217
"149",2004-01-07 04:00:00,0,NA,0,78887,0.308688260869565
"150",2004-01-07 05:00:00,0,NA,0,77604,0.303667826086957
"151",2004-01-07 06:00:00,0,NA,0,76332,0.298690434782609
"152",2004-01-07 07:00:00,0.04,NA,0.02,75060,0.293713043478261
"153",2004-01-07 08:00:00,0,NA,0.04,73760,0.288626086956522
"154",2004-01-07 09:00:00,0,NA,0.06,72367,0.283175217391304
"155",2004-01-07 10:00:00,0,NA,0.07,70975,0.277728260869565
"156",2004-01-07 11:00:00,0,NA,0.08,69960,0.27375652173913
"157",2004-01-07 12:00:00,0,NA,0.08,69151,0.270590869565217
"158",2004-01-07 13:00:00,0,NA,0.08,68342,0.267425217391304
"159",2004-01-07 14:00:00,0,NA,0.08,67512,0.264177391304348
"160",2004-01-07 15:00:00,0,NA,0.07,66591,0.26057347826087
"161",2004-01-07 16:00:00,0,NA,0.06,65660,0.256930434782609
"162",2004-01-07 17:00:00,0,NA,0.04,64729,0.253287391304348
"163",2004-01-07 18:00:00,0,NA,0.02,63798,0.249644347826087
"164",2004-01-07 19:00:00,0,NA,0,62910,0.246169565217391
"165",2004-01-07 20:00:00,0,NA,0,62126,0.243101739130435
"166",2004-01-07 21:00:00,0,NA,0,61347,0.24005347826087
"167",2004-01-07 22:00:00,0,NA,0,60568,0.237005217391304
"168",2004-01-07 23:00:00,0,NA,0,59788,0.233953043478261
"169",2004-01-08 00:00:00,0.04,NA,0,59009,0.230904782608696
"170",2004-01-08 01:00:00,0,NA,0,58230,0.22785652173913
"171",2004-01-08 02:00:00,0,NA,0,57451,0.224808260869565
"172",2004-01-08 03:00:00,0,NA,0,56671,0.221756086956522
"173",2004-01-08 04:00:00,0,NA,0,55892,0.218707826086957
"174",2004-01-08 05:00:00,0,NA,0,55113,0.215659565217391
"175",2004-01-08 06:00:00,0,NA,0,54334,0.212611304347826
"176",2004-01-08 07:00:00,0,NA,0.02,53555,0.209563043478261
"177",2004-01-08 08:00:00,0,NA,0.03,52920,0.207078260869565
"178",2004-01-08 09:00:00,0,NA,0.04,52483,0.205368260869565
"179",2004-01-08 10:00:00,0,NA,0.05,52048,0.203666086956522
"180",2004-01-08 11:00:00,0,NA,0.06,51614,0.201967826086957
"181",2004-01-08 12:00:00,0,NA,0.06,51178,0.200261739130435
"182",2004-01-08 13:00:00,0,NA,0.06,50743,0.198559565217391
"183",2004-01-08 14:00:00,0,NA,0.06,50308,0.196857391304348
"184",2004-01-08 15:00:00,0,NA,0.05,49873,0.195155217391304
"185",2004-01-08 16:00:00,0,NA,0.04,49438,0.193453043478261
"186",2004-01-08 17:00:00,0,NA,0.03,49002,0.191746956521739
"187",2004-01-08 18:00:00,0,NA,0.02,48568,0.190048695652174
"188",2004-01-08 19:00:00,0,NA,0,48133,0.18834652173913
"189",2004-01-08 20:00:00,0,NA,0,47697,0.186640434782609
"190",2004-01-08 21:00:00,0,NA,0,47262,0.184938260869565
"191",2004-01-08 22:00:00,0,NA,0,46827,0.183236086956522
"192",2004-01-08 23:00:00,0,NA,0,46392,0.181533913043478
"193",2004-01-09 00:00:00,0,NA,0,45957,0.179831739130435
"194",2004-01-09 01:00:00,0,NA,0,45522,0.178129565217391
"195",2004-01-09 02:00:00,0,NA,0,45087,0.176427391304348
"196",2004-01-09 03:00:00,0,NA,0,44651,0.174721304347826
"197",2004-01-09 04:00:00,0,NA,0,44216,0.173019130434783
"198",2004-01-09 05:00:00,0,NA,0,43781,0.171316956521739
"199",2004-01-09 06:00:00,0.01,NA,0,43337,0.169579565217391
"200",2004-01-09 07:00:00,0.06,NA,0.02,42888,0.167822608695652
"201",2004-01-09 08:00:00,0,NA,0.03,42450,0.166108695652174
"202",2004-01-09 09:00:00,0,NA,0.04,42126,0.164840869565217
"203",2004-01-09 10:00:00,0.09,NA,0.05,41827,0.163670869565217
"204",2004-01-09 11:00:00,0.11,NA,0.06,41528,0.162500869565217
"205",2004-01-09 12:00:00,0,NA,0.06,41229,0.161330869565217
"206",2004-01-09 13:00:00,0,NA,0.06,40930,0.160160869565217
"207",2004-01-09 14:00:00,0,NA,0.06,40707,0.159288260869565
"208",2004-01-09 15:00:00,0,NA,0.05,40542,0.158642608695652
"209",2004-01-09 16:00:00,0,NA,0.04,40377,0.157996956521739
"210",2004-01-09 17:00:00,0,NA,0.03,40213,0.157355217391304
"211",2004-01-09 18:00:00,0,NA,0.02,40048,0.156709565217391
"212",2004-01-09 19:00:00,0,NA,0,39883,0.156063913043478
"213",2004-01-09 20:00:00,0,NA,0,39719,0.155422173913043
"214",2004-01-09 21:00:00,0,NA,0,39554,0.15477652173913
"215",2004-01-09 22:00:00,0,NA,0,39389,0.154130869565217
"216",2004-01-09 23:00:00,0,NA,0,39225,0.153489130434783
"217",2004-01-10 00:00:00,0,NA,0,39060,0.15284347826087
"218",2004-01-10 01:00:00,0.03,NA,0,38896,0.152201739130435
"219",2004-01-10 02:00:00,0,NA,0,38731,0.151556086956522
"220",2004-01-10 03:00:00,0,NA,0,38566,0.150910434782609
"221",2004-01-10 04:00:00,0,NA,0,38402,0.150268695652174
"222",2004-01-10 05:00:00,0,NA,0,38237,0.149623043478261
"223",2004-01-10 06:00:00,0,NA,0,38072,0.148977391304348
"224",2004-01-10 07:00:00,0,NA,0.02,37908,0.148335652173913
"225",2004-01-10 08:00:00,0,NA,0.03,37743,0.14769
"226",2004-01-10 09:00:00,0,NA,0.04,37578,0.147044347826087
"227",2004-01-10 10:00:00,0,NA,0.05,37414,0.146402608695652
"228",2004-01-10 11:00:00,0.09,NA,0.06,37249,0.145756956521739
"229",2004-01-10 12:00:00,0.08,NA,0.06,37084,0.145111304347826
"230",2004-01-10 13:00:00,0,NA,0.06,36920,0.144469565217391
"231",2004-01-10 14:00:00,0,NA,0.06,36755,0.143823913043478
"232",2004-01-10 15:00:00,0.08,NA,0.05,36590,0.143178260869565
"233",2004-01-10 16:00:00,0,NA,0.04,36426,0.14253652173913
"234",2004-01-10 17:00:00,0,NA,0.03,36261,0.141890869565217
"235",2004-01-10 18:00:00,0,NA,0.02,36097,0.141249130434783
"236",2004-01-10 19:00:00,0.03,NA,0,35932,0.14060347826087
"237",2004-01-10 20:00:00,0.05,NA,0,35767,0.139957826086957
"238",2004-01-10 21:00:00,0.44,NA,0,35603,0.139316086956522
"239",2004-01-10 22:00:00,1.01,NA,0,35438,0.138670434782609
"240",2004-01-10 23:00:00,1.53,NA,0,35273,0.138024782608696
"241",2004-01-11 00:00:00,1.64,NA,0,35109,0.137383043478261
"242",2004-01-11 01:00:00,1.82,NA,0,34944,0.136737391304348
"243",2004-01-11 02:00:00,2.65,NA,0,34779,0.136091739130435
"244",2004-01-11 03:00:00,1.81,NA,0,34615,0.13545
"245",2004-01-11 04:00:00,1.09,NA,0,34450,0.134804347826087
"246",2004-01-11 05:00:00,1.54,NA,0,34285,0.134158695652174
"247",2004-01-11 06:00:00,0.77,NA,0,34121,0.133516956521739
"248",2004-01-11 07:00:00,0.38,NA,0.02,33956,0.132871304347826
"249",2004-01-11 08:00:00,1.53,NA,0.04,33791,0.132225652173913
"250",2004-01-11 09:00:00,1,NA,0.05,33627,0.131583913043478
"251",2004-01-11 10:00:00,1.06,NA,0.06,33462,0.130938260869565
"252",2004-01-11 11:00:00,0.82,NA,0.07,33298,0.13029652173913
"253",2004-01-11 12:00:00,1.67,NA,0.07,33133,0.129650869565217
"254",2004-01-11 13:00:00,0.69,NA,0.07,32968,0.129005217391304
"255",2004-01-11 14:00:00,0.4,NA,0.07,32804,0.12836347826087
"256",2004-01-11 15:00:00,0.09,NA,0.06,32639,0.127717826086957
"257",2004-01-11 16:00:00,0.18,NA,0.05,32474,0.127072173913043
"258",2004-01-11 17:00:00,0.01,NA,0.04,32310,0.126430434782609
"259",2004-01-11 18:00:00,0.18,NA,0.02,32178,0.125913913043478
"260",2004-01-11 19:00:00,2.61,NA,0,32106,0.125632173913044
"261",2004-01-11 20:00:00,1.46,NA,0,32035,0.125354347826087
"262",2004-01-11 21:00:00,1.21,NA,0,31965,0.125080434782609
"263",2004-01-11 22:00:00,0.54,NA,0,31894,0.124802608695652
"264",2004-01-11 23:00:00,0.45,NA,0,31823,0.124524782608696
"265",2004-01-12 00:00:00,0.26,NA,0,31753,0.124250869565217
"266",2004-01-12 01:00:00,0,NA,0,31682,0.123973043478261
"267",2004-01-12 02:00:00,0.08,NA,0,31611,0.123695217391304
"268",2004-01-12 03:00:00,0.16,NA,0,31541,0.123421304347826
"269",2004-01-12 04:00:00,0,NA,0,31470,0.12314347826087
"270",2004-01-12 05:00:00,0.02,NA,0,31399,0.122865652173913
"271",2004-01-12 06:00:00,0.07,NA,0,31329,0.122591739130435
"272",2004-01-12 07:00:00,0.03,NA,0.01,31259,0.122317826086957
"273",2004-01-12 08:00:00,0,NA,0.02,31188,0.12204
"274",2004-01-12 09:00:00,0.03,NA,0.03,31117,0.121762173913043
"275",2004-01-12 10:00:00,0,NA,0.04,31047,0.121488260869565
"276",2004-01-12 11:00:00,0,NA,0.04,30976,0.121210434782609
"277",2004-01-12 12:00:00,0,NA,0.05,30905,0.120932608695652
"278",2004-01-12 13:00:00,0,NA,0.05,30834,0.120654782608696
"279",2004-01-12 14:00:00,0.03,NA,0.04,30764,0.120380869565217
"280",2004-01-12 15:00:00,0,NA,0.04,30694,0.120106956521739
"281",2004-01-12 16:00:00,0,NA,0.03,30622,0.119825217391304
"282",2004-01-12 17:00:00,0,NA,0.02,30552,0.119551304347826
"283",2004-01-12 18:00:00,0,NA,0.01,30482,0.119277391304348
"284",2004-01-12 19:00:00,0,NA,0,30411,0.118999565217391
"285",2004-01-12 20:00:00,0,NA,0,30340,0.118721739130435
"286",2004-01-12 21:00:00,0,NA,0,30270,0.118447826086957
"287",2004-01-12 22:00:00,0,NA,0,30199,0.11817
"288",2004-01-12 23:00:00,0,NA,0,30128,0.117892173913043
"289",2004-01-13 00:00:00,0,NA,0,30058,0.117618260869565
"290",2004-01-13 01:00:00,0,NA,0,30018,0.117461739130435
"291",2004-01-13 02:00:00,0,NA,0,30072,0.117673043478261
"292",2004-01-13 03:00:00,0,NA,0,30133,0.117911739130435
"293",2004-01-13 04:00:00,0,NA,0,30193,0.11814652173913
"294",2004-01-13 05:00:00,0,NA,0,30254,0.118385217391304
"295",2004-01-13 06:00:00,0,NA,0,30314,0.11862
"296",2004-01-13 07:00:00,0,NA,0.01,30375,0.118858695652174
"297",2004-01-13 08:00:00,0,NA,0.02,30436,0.119097391304348
"298",2004-01-13 09:00:00,0.03,NA,0.03,30497,0.119336086956522
"299",2004-01-13 10:00:00,0,NA,0.04,30557,0.119570869565217
"300",2004-01-13 11:00:00,0,NA,0.04,30618,0.119809565217391
"301",2004-01-13 12:00:00,0,NA,0.05,30679,0.120048260869565
"302",2004-01-13 13:00:00,0,NA,0.05,30739,0.120283043478261
"303",2004-01-13 14:00:00,0,NA,0.04,30800,0.120521739130435
"304",2004-01-13 15:00:00,0,NA,0.04,30861,0.120760434782609
"305",2004-01-13 16:00:00,0,NA,0.03,31051,0.121503913043478
"306",2004-01-13 17:00:00,0,NA,0.02,31467,0.123131739130435
"307",2004-01-13 18:00:00,0,NA,0.01,31887,0.124775217391304
"308",2004-01-13 19:00:00,0,NA,0,32306,0.126414782608696
"309",2004-01-13 20:00:00,0,NA,0,32726,0.128058260869565
"310",2004-01-13 21:00:00,0,NA,0,33146,0.129701739130435
"311",2004-01-13 22:00:00,0,NA,0,33566,0.131345217391304
"312",2004-01-13 23:00:00,0,NA,0,33986,0.132988695652174
"313",2004-01-14 00:00:00,0,NA,0,34405,0.134628260869565
"314",2004-01-14 01:00:00,0.48,NA,0,34828,0.13628347826087
"315",2004-01-14 02:00:00,1.64,NA,0,35772,0.139977391304348
"316",2004-01-14 03:00:00,1.54,NA,0,37095,0.145154347826087
"317",2004-01-14 04:00:00,1.79,NA,0,38418,0.150331304347826
"318",2004-01-14 05:00:00,1.2,NA,0,39742,0.155512173913043
"319",2004-01-14 06:00:00,2.72,NA,0,41249,0.161409130434783
"320",2004-01-14 07:00:00,3.62,NA,0.02,43292,0.16940347826087
"321",2004-01-14 08:00:00,3.3,NA,0.03,45968,0.179874782608696
"322",2004-01-14 09:00:00,3,NA,0.04,49326,0.193014782608696
"323",2004-01-14 10:00:00,3.57,NA,0.05,52813,0.206659565217391
"324",2004-01-14 11:00:00,2.58,NA,0.06,58136,0.227488695652174
"325",2004-01-14 12:00:00,1.47,NA,0.06,64058,0.250661739130435
"326",2004-01-14 13:00:00,2.24,NA,0.06,70489,0.27582652173913
"327",2004-01-14 14:00:00,4.49,NA,0.06,78161,0.305847391304348
"328",2004-01-14 15:00:00,2.14,NA,0.05,90671,0.354799565217391
"329",2004-01-14 16:00:00,0.76,NA,0.04,110763,0.433420434782609
"330",2004-01-14 17:00:00,0.53,NA,0.03,109318,0.427766086956522
"331",2004-01-14 18:00:00,0.15,NA,0.02,143468,0.56139652173913
"332",2004-01-14 19:00:00,0.02,NA,0,125817,0.492327391304348
"333",2004-01-14 20:00:00,0,NA,0,122433,0.479085652173913
"334",2004-01-14 21:00:00,0.02,NA,0,110963,0.434203043478261
"335",2004-01-14 22:00:00,0,NA,0,97466,0.381388695652174
"336",2004-01-14 23:00:00,0,NA,0,93949,0.36762652173913
"337",2004-01-15 00:00:00,0.05,NA,0,90433,0.353868260869565
"338",2004-01-15 01:00:00,0,NA,0,86916,0.340106086956522
"339",2004-01-15 02:00:00,0,NA,0,83399,0.326343913043478
"340",2004-01-15 03:00:00,0.05,NA,0,79882,0.312581739130435
"341",2004-01-15 04:00:00,0,NA,0,76366,0.29882347826087
"342",2004-01-15 05:00:00,0,NA,0,72850,0.285065217391304
"343",2004-01-15 06:00:00,0.06,NA,0,69333,0.271303043478261
"344",2004-01-15 07:00:00,0,NA,0.02,65816,0.257540869565217
"345",2004-01-15 08:00:00,0,NA,0.03,62300,0.243782608695652
"346",2004-01-15 09:00:00,0,NA,0.04,58943,0.23064652173913
"347",2004-01-15 10:00:00,0,NA,0.05,56428,0.220805217391304
"348",2004-01-15 11:00:00,0,NA,0.06,54036,0.211445217391304
"349",2004-01-15 12:00:00,0,NA,0.06,52304,0.204667826086957
"350",2004-01-15 13:00:00,0,NA,0.06,51278,0.200653043478261
"351",2004-01-15 14:00:00,0,NA,0.06,50252,0.196638260869565
"352",2004-01-15 15:00:00,0.18,NA,0.05,49226,0.19262347826087
"353",2004-01-15 16:00:00,0.14,NA,0.04,48539,0.189935217391304
"354",2004-01-15 17:00:00,0.46,NA,0.03,48159,0.188448260869565
"355",2004-01-15 18:00:00,0.26,NA,0.02,47443,0.18564652173913
"356",2004-01-15 19:00:00,0.83,NA,0,46929,0.183635217391304
"357",2004-01-15 20:00:00,1,NA,0,46414,0.18162
"358",2004-01-15 21:00:00,0.64,NA,0,45900,0.179608695652174
"359",2004-01-15 22:00:00,1.36,NA,0,45386,0.177597391304348
"360",2004-01-15 23:00:00,0.71,NA,0,44871,0.175582173913044
"361",2004-01-16 00:00:00,0.6,NA,0,44357,0.173570869565217
"362",2004-01-16 01:00:00,0.96,NA,0,43843,0.171559565217391
"363",2004-01-16 02:00:00,5.48,NA,0,43702,0.171007826086957
"364",2004-01-16 03:00:00,1.3,NA,0,44068,0.17244
"365",2004-01-16 04:00:00,0.06,NA,0,43666,0.170866956521739
"366",2004-01-16 05:00:00,0,NA,0,43174,0.168941739130435
"367",2004-01-16 06:00:00,0,NA,0,42681,0.167012608695652
"368",2004-01-16 07:00:00,0,NA,0.02,42189,0.165087391304348
"369",2004-01-16 08:00:00,0,NA,0.03,41696,0.163158260869565
"370",2004-01-16 09:00:00,0,NA,0.04,41203,0.161229130434783
"371",2004-01-16 10:00:00,0.11,NA,0.05,40711,0.159303913043478
"372",2004-01-16 11:00:00,0.19,NA,0.06,40218,0.157374782608696
"373",2004-01-16 12:00:00,0.08,NA,0.06,39726,0.155449565217391
"374",2004-01-16 13:00:00,0.05,NA,0.06,39233,0.153520434782609
"375",2004-01-16 14:00:00,0.12,NA,0.06,38740,0.151591304347826
"376",2004-01-16 15:00:00,0.17,NA,0.05,38248,0.149666086956522
"377",2004-01-16 16:00:00,0.07,NA,0.04,37755,0.147736956521739
"378",2004-01-16 17:00:00,0.07,NA,0.03,37263,0.145811739130435
"379",2004-01-16 18:00:00,0.05,NA,0.02,36770,0.143882608695652
"380",2004-01-16 19:00:00,0.03,NA,0,36278,0.141957391304348
"381",2004-01-16 20:00:00,0,NA,0,35785,0.140028260869565
"382",2004-01-16 21:00:00,0.02,NA,0,35292,0.138099130434783
"383",2004-01-16 22:00:00,0.69,NA,0,34834,0.136306956521739
"384",2004-01-16 23:00:00,0.09,NA,0,34577,0.135301304347826
"385",2004-01-17 00:00:00,0.22,NA,0,34354,0.134428695652174
"386",2004-01-17 01:00:00,0.07,NA,0,34131,0.133556086956522
